Linear Accel X = 396, Y = -7, Z = -64, qw = 12791, qx = 432, qy = 742, qz = -10203
Linear Accel X = 410, Y = -7, Z = 20, qw = 12885, qx = 324, qy = 750, qz = -10087
Linear Accel X = 383, Y = 151, Z = 230, qw = 13044, qx = 115, qy = 863, qz = -9876
Linear Accel X = 383, Y = 119, Z = 171, qw = 13112, qx = 83, qy = 945, qz = -9778
Linear Accel X = 370, Y = 90, Z = 148, qw = 13168, qx = 96, qy = 975, qz = -9699
Linear Accel X = 479, Y = -60, Z = 53, qw = 13204, qx = 110, qy = 1023, qz = -9645
Linear Accel X = 352, Y = 51, Z = 248, qw = 13237, qx = 106, qy = 974, qz = -9605
Linear Accel X = 268, Y = 51, Z = 107, qw = 13233, qx = 165, qy = 949, qz = -9613
Linear Accel X = 352, Y = 51, Z = 179, qw = 13245, qx = 202, qy = 913, qz = -9598
Linear Accel X = 407, Y = 59, Z = 128, qw = 13288, qx = 220, qy = 767, qz = -9551
Linear Accel X = 327, Y = -20, Z = 92, qw = 13306, qx = 272, qy = 666, qz = -9533
Linear Accel X = 299, Y = -54, Z = -46, qw = 13315, qx = 380, qy = 630, qz = -9519
Linear Accel X = 301, Y = 4, Z = -55, qw = 13322, qx = 487, qy = 650, qz = -9502
Linear Accel X = 300, Y = -23, Z = 79, qw = 13329, qx = 613, qy = 625, qz = -9487
Linear Accel X = 374, Y = -143, Z = -48, qw = 13329, qx = 733, qy = 577, qz = -9481
Linear Accel X = 390, Y = -100, Z = -22, qw = 13320, qx = 850, qy = 554, qz = -9486
Linear Accel X = 331, Y = -51, Z = 76, qw = 13307, qx = 957, qy = 518, qz = -9497
Linear Accel X = 433, Y = -94, Z = 164, qw = 13295, qx = 1056, qy = 479, qz = -9504
Linear Accel X = 348, Y = -195, Z = 18, qw = 13258, qx = 1223, qy = 433, qz = -9538
Linear Accel X = 336, Y = -207, Z = -118, qw = 13176, qx = 1430, qy = 406, qz = -9624
Linear Accel X = 321, Y = -139, Z = -41, qw = 13027, qx = 1599, qy = 343, qz = -9801
Linear Accel X = 282, Y = -130, Z = 191, qw = 12922, qx = 1613, qy = 235, qz = -9940
Linear Accel X = 188, Y = -207, Z = 83, qw = 12800, qx = 1632, qy = 97, qz = -10096
Linear Accel X = 238, Y = -201, Z = -1, qw = 12663, qx = 1690, qy = -47, qz = -10258
Linear Accel X = 271, Y = -176, Z = 204, qw = 12452, qx = 1703, qy = -280, qz = -10507
